"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1",-1.09138,4.67919333333333,-9.28622360327697,3.81123180246891e-06,0.00416758197599975,4.84462560241215
"2",-1.046765,8.67569333333333,-8.0389110446093,1.33620885567744e-05,0.00528225706069125,3.68591959492734
"3",-1.09330833333333,4.43165111111111,-7.36780946854878,2.79562183965612e-05,0.00541655980702153,2.9861592630751
"4",-1.16364000000001,9.88187333333333,-6.75907764980529,5.70358118592113e-05,0.00613477399548615,2.29987840560937
"5",-1.08327166666667,5.27600888888889,-6.75068446736667,5.76170142802088e-05,0.00613477399548615,2.29005502872182
"6",-1.20506833333334,8.79504444444444,-6.69354735627166,6.17482669005142e-05,0.00623115100843095,2.22291419884827
"7",-1.070835,6.67140333333333,-6.67187596427728,6.33982163697502e-05,0.00624701222469168,2.19732608602248
"8",-1.64927666666667,7.01613555555556,-6.6696813850338,6.35679446596439e-05,0.00624701222469168,2.19473110989477
"9",-1.91452,6.08137,-6.60664825279111,6.86592247446242e-05,0.00638082177725762,2.11990120864979
"10",-1.06012833333334,7.42825444444444,-6.52418563914529,7.59973230228728e-05,0.00659607924769911,2.02113594937827
"11",-2.14272,7.44900333333333,-6.41099572677526,8.74855160814642e-05,0.00687251521803743,1.88394958846718
"12",-1.70784,7.22236,-6.38194391197816,9.07281940106816e-05,0.00691849931315762,1.8484344151559
"13",-1.00476666666667,7.50748888888889,-6.36336380556389,9.28700537639887e-05,0.00694619724972105,1.82565515822191
"14",-1.33827333333334,8.40908111111111,-6.2918093436493,0.000101643880284873,0.00718007642710007,1.7374500978193
"15",-1.19826166666667,7.82786222222222,-6.23509346997783,0.000109234846376508,0.00737426042144868,1.66699374962645
"16",-1.72568333333333,8.20665111111111,-6.20428223004872,0.000113613671214696,0.00744823438089148,1.62851577768186
"17",-1.01427166666667,5.93929888888889,-6.18616601227783,0.000116276556460694,0.0075302697536412,1.60582508419426
"18",-1.12751833333334,7.63991777777778,-5.93748166733088,0.000160515715122895,0.00867213115053782,1.28931929917886
"19",-1.19640833333334,7.58514444444444,-5.88589472702156,0.000171796873529826,0.00880555022647313,1.22248086726627
"20",-1.01406166666666,5.25154222222222,-5.88584646424232,0.00017180781959182,0.00880555022647313,1.22241814423243
"21",-1.33946666666667,6.80715888888889,-5.76743196310929,0.000201070363246861,0.00944460662415988,1.06744313212607
"22",-1.52648833333334,6.75161777777778,-5.76413044292385,0.00020195956287708,0.00945367458795182,1.06309120930152
"23",-1.02578,9.15990333333333,-5.73982629809634,0.000208637195300725,0.00953782496075848,1.03100254038977
"24",-2.163635,8.10700333333333,-5.6914553842674,0.000222645327513171,0.00979658654522814,0.96686591526142
"25",-1.27972,4.04877,-5.67724966006795,0.000226949140349626,0.00987524769052163,0.947961019918203
"26",-1.12475666666667,7.94976555555556,-5.67441985665824,0.000227817113182554,0.00987779592645213,0.944191386110528
