"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1",2.46522666666666,8.06136444444444,12.4776092670136,2.64653506337806e-07,0.00207140335447456,7.14175461795683
"2",2.55712666666667,5.95867444444444,12.0908397519278,3.53440244668619e-07,0.00226949042424102,6.90558386634973
"3",3.61157333333333,7.35181222222222,11.8805238432741,4.15087411841064e-07,0.00226949042424102,6.77283920816627
"4",3.21293166666667,7.59151777777778,11.2427270456964,6.86661405791619e-07,0.00288793941243514,6.35059743555987
"5",2.15090666666666,7.08629111111111,11.0754661744186,7.86793442702328e-07,0.0030727093914107,6.23473298854351
"6",3.33337833333333,9.28593222222222,10.8851111951272,9.20639395927587e-07,0.0033243065498932,6.10015553428373
"7",2.29597666666667,5.72214777777778,10.4289762920365,1.35473073390649e-06,0.0035057355766246,5.76546196017302
"8",3.36221666666666,8.69493777777778,10.2429638211616,1.59245984444669e-06,0.0035057355766246,5.62383093546573
"9",3.32225,10.0065833333333,10.1190522628983,1.77600208866022e-06,0.0035057355766246,5.52777078226593
"10",2.54604666666667,8.08797444444444,10.025840102393,1.9293204002314e-06,0.0035057355766246,5.4545898130806
"11",2.52782833333333,8.00165222222222,9.94450064934214,2.07498464183923e-06,0.0035057355766246,5.39007568319091
"12",2.21676166666667,6.43997444444444,9.90053863898613,2.15868790790314e-06,0.0035057355766246,5.35495083984758
"13",2.27895333333333,5.22997888888889,9.79907648868221,2.36631916438582e-06,0.0035057355766246,5.27319000812472
"14",3.02033666666667,6.23101444444444,9.77640674830112,2.41563615790657e-06,0.0035057355766246,5.25478865876836
"15",2.464695,5.97651666666667,9.66766593451272,2.66835263513499e-06,0.0035057355766246,5.16583693337977
"16",2.07977,5.09791,9.65722229579969,2.69410509985595e-06,0.0035057355766246,5.15723378116235
"17",2.22623,8.13285333333333,9.61690492590071,2.79610118286537e-06,0.0035057355766246,5.12392201989095
"18",2.09760333333333,7.62138888888889,9.55639964851163,2.95717743134731e-06,0.00359297057908698,5.07363198469905
"19",2.33196833333333,6.40684888888889,9.12383407714831,4.452053697534e-06,0.00453647023778883,4.70340480591454
"20",2.34676,7.41004,9.07222460715358,4.67967012300853e-06,0.00453647023778883,4.65794788473636
"21",2.84627666666666,7.87821777777778,8.95853867897188,5.22720850444804e-06,0.00453647023778883,4.55682118637351
"22",2.376895,6.42537,8.93971413292139,5.32444307774077e-06,0.00454865508242932,4.53994320609218
"23",2.09039333333333,6.11397222222222,8.86981810468819,5.70313199448151e-06,0.00465923289433506,4.47694095982252
"24",2.116465,7.76114666666667,8.85141220704346,5.80767595611829e-06,0.00465923289433506,4.4602624786587
"25",2.42833,7.13632,8.81864741892527,5.99899081240303e-06,0.00465923289433506,4.430481477536
"26",2.11630166666667,6.30894777777778,8.81003746754991,6.05039845446345e-06,0.00465923289433506,4.42263616972753
"27",2.03433333333333,5.52725555555556,8.73297387570966,6.53253600890798e-06,0.00481395934033791,4.35205429926621
"28",2.00527,7.71851666666667,8.70969237336756,6.68632221762591e-06,0.00481395934033791,4.33060214869591
"29",2.14114,4.21779666666667,8.52088247981982,8.0898599166056e-06,0.00518726264254512,4.15439003467412
"30",2.06445833333333,8.18644555555556,8.40043270693742,9.1514428495013e-06,0.00518726264254512,4.0398628657688
"31",2.08933,4.33686,8.37107208180679,9.43264226211589e-06,0.00518726264254512,4.01169238686985
"32",2.17360666666666,7.74689444444444,8.30611763724336,1.00887956994008e-05,0.00518726264254512,3.94901429144673
"33",2.06850166666667,5.40262111111111,8.29590217174801,1.01964434162109e-05,0.00518726264254512,3.93911191672517
"34",2.75137,6.35911333333333,8.18437945246972,1.14566456753249e-05,0.0052199341858199,3.83020636115551
"35",2.397725,7.11500333333333,8.10427224711489,1.24663363863061e-05,0.00528225706069125,3.75106520804516
"36",2.43867166666667,5.25609444444444,7.97557506281167,1.42973295307161e-05,0.00528225706069125,3.62229697801764
"37",2.04101666666666,10.6373777777778,7.97489373362341,1.43077699407044e-05,0.00528225706069125,3.62160989833329
"38",2.576585,5.83301333333333,7.93638850828967,1.49115180380275e-05,0.00528225706069125,3.58268699704394
"39",2.368535,8.47260333333333,7.9267146760108,1.50675229923562e-05,0.00528225706069125,3.57287953788825
"40",2.38718666666666,6.29878777777778,7.90463514183725,1.54302857906114e-05,0.0053059803496961,3.55045171819727
"41",2.42893166666667,7.14599444444444,7.89596890896181,1.55752595374885e-05,0.00532135836131936,3.54163229905405
"42",2.02012666666667,7.18016777777778,7.84545279594209,1.64503909626522e-05,0.00532135836131936,3.49003762870688
"43",2.46299833333333,5.57178888888889,7.81292562227093,1.70421318562808e-05,0.00532135836131936,3.45664758289909
"44",2.62308333333333,5.90057222222222,7.7750521159248,1.77604845176857e-05,0.00532135836131936,3.41760227002575
"45",2.548745,5.44726666666667,7.77122937726745,1.78348017706458e-05,0.00532135836131936,3.41365123337057
"46",2.61789833333333,4.96782222222222,7.76611830114364,1.79346945510352e-05,0.00532135836131936,3.40836574330433
"47",2.00543666666667,6.77799444444444,7.74785199389132,1.82967047134747e-05,0.00532135836131936,3.3894491662854
"48",2.039965,7.47662666666667,7.72386935811843,1.87841273659742e-05,0.00532135836131936,3.36454871222615
"49",2.31859333333334,8.41876222222222,7.6319323521195,2.07877946267544e-05,0.00536849419051998,3.26841562565371
"50",2.00701666666666,6.96774444444444,7.59730385360932,2.16017911896633e-05,0.00536849419051998,3.23192615097639
"51",2.15417833333333,5.63801222222222,7.58780212289826,2.1831158916307e-05,0.00536849419051998,3.22188679149845
