"","Gene.symbol","logFC","adj.P.Val","t"
"1","ANGPT1",2.46522666666666,0.00207140335447456,12.4776092670136
"2","TSC22D2",2.55712666666667,0.00226949042424102,12.0908397519278
"3","PLCB4",3.61157333333333,0.00226949042424102,11.8805238432741
"4","PHIP",3.21293166666667,0.00288793941243514,11.2427270456964
"5","CLK4",2.15090666666666,0.0030727093914107,11.0754661744186
"6","",3.33337833333333,0.0033243065498932,10.8851111951272
"7","CLK4",2.29597666666667,0.0035057355766246,10.4289762920365
"8","PLCB4",3.36221666666666,0.0035057355766246,10.2429638211616
"9","",3.32225,0.0035057355766246,10.1190522628983
"10","DNM3OS",2.54604666666667,0.0035057355766246,10.025840102393
"11","ANGPT1",2.52782833333333,0.0035057355766246,9.94450064934214
"12","TMF1",2.21676166666667,0.0035057355766246,9.90053863898613
"13","ZNF302",2.27895333333333,0.0035057355766246,9.79907648868221
"14","ZNF91",3.02033666666667,0.0035057355766246,9.77640674830112
"15","",2.464695,0.0035057355766246,9.66766593451272
"16","",2.07977,0.0035057355766246,9.65722229579969
"17","",2.22623,0.0035057355766246,9.61690492590071
"18","PIK3CA",2.09760333333333,0.00359297057908698,9.55639964851163
"19","TSC22D2",2.33196833333333,0.00453647023778883,9.12383407714831
"20","ATRX",2.34676,0.00453647023778883,9.07222460715358
"21","N4BP2L2",2.84627666666666,0.00453647023778883,8.95853867897188
"22","CASP8AP2",2.376895,0.00454865508242932,8.93971413292139
"23","ZNF302",2.09039333333333,0.00465923289433506,8.86981810468819
"24","IGF2BP3",2.116465,0.00465923289433506,8.85141220704346
"25","ZHX1",2.42833,0.00465923289433506,8.81864741892527
"26","FAM126B",2.11630166666667,0.00465923289433506,8.81003746754991
"27","DIS3",2.03433333333333,0.00481395934033791,8.73297387570966
"28","FAM63B",2.00527,0.00481395934033791,8.70969237336756
